Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
IDAI,T STAMP INC CL A,OTCQX U.S.,5.350000,-8.703100,13128,Common Stock,USA,Georgia
AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,7.960000,-0.605600,32929,Foreign Ordinary Shares,USA,New York
AUGX,AUGMEDIX INC,OTCQX U.S.,5.580000,,102,Common Stock,USA,California
NLCP,NEWLAKE CAP PARTNERS INC,OTCQX U.S.,31.030000,0.096800,57527,Common Stock,USA,Connecticut
GXLM,GRAYSCALE STELLAR LUMENS,OTCQX U.S.,43.350000,-4.515400,9866,Common Stock,USA,Connecticut
HZEN,GRAYSCALE HORIZEN TR ZEN,OTCQX U.S.,7.750000,-11.931800,51462,Common Stock,USA,Connecticut
AWCMF,ALUMINA LTD,OTCQX International Premier,1.650000,,0,Foreign Ordinary Shares,Australia,Victoria
AWCMY,ALUMINA LTD S/ADR,OTCQX International Premier,6.170000,-2.220300,1091,ADRs,Australia,Victoria
FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,21.490000,0.750100,74292,ADRs,Australia,Western Australia
FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,10.750000,0.107100,8668,Foreign Ordinary Shares,Australia,Western Australia
PBTHF,POINTSBET HOLDINGS LTD,OTCQX International Premier,8.142500,2.292700,28478,Foreign Ordinary Shares,Australia,Victoria
SLVYY,SOLVAY SA UNSP/ADR,OTCQX International Premier,11.960000,-1.197900,1812,ADRs,Belgium,
SVYSF,SOLVAY SA ACT,OTCQX International Premier,135.514700,,0,Foreign Ordinary Shares,Belgium,
LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,8.520000,-1.730100,3829,ADRs,Brazil,
JBSAY,JBS S A S/ADR,OTCQX International Premier,13.140000,-0.227800,34168,ADRs,Brazil,
COGNY,COGNA EDUCACAO S A S/ADR,OTCQX International Premier,0.435000,-8.421100,28701,ADRs,Brazil,
BDRAF,BOMBARDIER INC A,OTCQX International Premier,1.809000,3.965500,6308,Foreign Ordinary Shares,Canada,Quebec
BDRBF,BOMBARDIER INC B,OTCQX International Premier,1.750000,4.172900,3281846,Foreign Ordinary Shares,Canada,Quebec
ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,18.540000,-0.637800,23025,Foreign Ordinary Shares,Canada,Quebec
ARESF,ARTIS RL EST I/T TR UT,OTCQX International Premier,9.587100,,1073,Units,Canada,Manitoba
IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,7.940000,1.340100,43107,Foreign Ordinary Shares,Canada,British Columbia
YZCAY,YANZHOU COAL MNG CO S/ADR,OTCQX International Premier,17.480000,-4.271600,5779,ADRs,China,
CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,3.000000,-0.662300,24629,ADRs,Egypt,
CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,2.880000,,0,New York Registry Shs,Egypt,
