Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FET-USD,0.8911082,2021/11/12,12:26 GMT,-0.03473693,0.89489645,0.9249765,0.87115943,54553464,,,,,,,
XWC-USD,0.92814255,2021/11/12,12:26 GMT,0.0058609247,0.91991943,0.928644,0.9185963,15188222,,,,,,,
C98-USD,3.7310905,2021/11/12,12:25 GMT,-0.15649843,3.8985765,3.9322093,3.6795394,65890628,,,,,,,
GNO-USD,468.1316,2021/11/12,12:26 GMT,-21.858795,481.5175,485.57635,459.99194,7398818,,,,,,,
CELR-USD,0.117820345,2021/11/12,12:26 GMT,-0.017685853,0.12759398,0.1287538,0.11569467,183094592,,,,,,,
VGX-USD,2.648484,2021/11/12,12:25 GMT,0.012911797,2.7115428,2.7605712,2.5968287,2809057,,,,,,,
1INCH-USD,4.1485214,2021/11/12,12:24 GMT,-0.15105343,4.288967,4.288967,4.066115,173205136,,,,,,,
NANO-USD,5.644878,2021/11/12,12:26 GMT,-0.1326108,5.646448,5.757362,5.5734944,25623082,,,,,,,
CKB-USD,0.027067399,2021/11/12,12:25 GMT,-0.0035701096,0.029373197,0.029643964,0.026595343,79702120,,,,,,,
RAY-USD,10.990526,2021/11/12,12:26 GMT,-0.36914062,11.27977,11.3270035,10.883695,101961328,,,,,,,
IOST-USD,0.04751605,2021/11/12,12:25 GMT,-0.0013830289,0.04857783,0.048818864,0.046634626,136182944,,,,,,,
SKL-USD,0.36429596,2021/11/12,12:26 GMT,-0.01048547,0.3702876,0.37664682,0.35498628,74263368,,,,,,,
ONT-USD,1.0285468,2021/11/12,12:25 GMT,-0.04313636,1.0645345,1.0726582,1.0154054,139635680,,,,,,,
SRM-USD,6.9388947,2021/11/12,12:26 GMT,-0.207098,7.0355563,7.191244,6.8752036,130744400,,,,,,,
DGB-USD,0.06244233,2021/11/12,12:26 GMT,0.002363447,0.069059126,0.069059126,0.061114345,182799344,,,,,,,
SC-USD,0.019247113,2021/11/12,12:26 GMT,-8.7524205E-4,0.019840285,0.019959114,0.01896633,66463756,,,,,,,
CCXX-USD,53.42646,2021/11/12,12:25 GMT,-0.76582336,53.8937,54.088356,53.01298,1245832,,,,,,,
DFI-USD,3.3233283,2021/11/12,12:25 GMT,-4.6038628E-4,3.3646562,3.393469,3.2936416,5136932,,,,,,,
WAXP-USD,0.55817497,2021/11/12,12:25 GMT,9.533167E-4,0.53457564,0.56284624,0.5308296,206297072,,,,,,,
ANKR-USD,0.12532407,2021/11/12,12:26 GMT,0.0061575696,0.119365625,0.12634264,0.11791962,144706928,,,,,,,
UMA-USD,16.558691,2021/11/12,12:26 GMT,0.43758202,19.743258,20.004496,16.023563,414509120,,,,,,,
